"","Filtros.activos.","Filtros.activos..1","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro.1","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro.2","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro.3","Sector..Actividades.de.juegos.de.azar.y.apuestas........quitar.filtro.4"
"1","Posición Sector","Evolución Posiciones","Nombre de la empresaNombre>","Facturación (€)Ventas (€)
				Seleccionar...
			PequeñasMedianasGrandesCorporativas","Provincia
				Seleccionar...","",NA
"72","71","408","GESTION DE APUESTAS RIOJANAS SOCIEDAD LIMITADA.","grande","La Rioja","Ver más",NA
"73","72","12","INTERSERVI SOCIEDAD ANONIMA","13.752.055","Ciudad Real","Ver más",NA
"74","73","6","LISTA AZUL SA","grande","Lérida","Ver más",NA
"75","74","6","IMPULSORA TURISTICA ALPAMAN SA","grande","Pontevedra","Ver más",NA
"76","75","3","BINGO CIUDADELA SA","grande","Navarra","Ver más",NA
"77","76","3","SALA VALENCIA SA","grande","Valencia","Ver más",NA
"78","77","2","PRINCESA 31 SA","grande","Madrid","Ver más",NA
"79","78","7","CATEBING SURESTE SA","grande","Alicante","Ver más",NA
"80","79","2","BINGOS ANDALUCES SA","grande","Sevilla","Ver más",NA
"81","80","6","POSBINTRA SA","grande","Barcelona","Ver más",NA
"82","81","2","CASINO DE MALLORCA SA","grande","Baleares","Ver más",NA
"83","82","4","RECREA SL","grande","Lérida","Ver más",NA
"84","83","2","ZUBINGORA SL","grande","Gipuzkoa","Ver más",NA
"85","84","4","SERVICIOS COMERCIALES Y RECREATIVOS SA","grande","Murcia","Ver más",NA
"86","85","3","BINGO DIAGONAL SA","grande","Alicante","Ver más",NA
"87","86","186","INVERSIONES COMATEL SL","grande","Valencia","Ver más",NA
"88","87","11","CASINO DE JUEGO TORREQUEBRADA SA","grande","Málaga","Ver más",NA
"89","88","27","GESTION DE APUESTAS GALLEGAS SL.","10.526.729","Orense","Ver más",NA
"90","89","3","UNIPRAGA SA","grande","Madrid","Ver más",NA
"91","90","6","ALUJUEGOS SA","grande","Madrid","Ver más",NA
"92","91","3","BINGOS DEL VINALOPO SA","grande","Alicante","Ver más",NA
"93","92","125","CODERE APUESTAS ESPAÑA SL","grande","Madrid","Ver más",NA
"94","93","2","MAQUEXPLOT SL","grande","Barcelona","Ver más",NA
"95","94","5","NOVOJUEGOS SA","grande","Madrid","Ver más",NA
"96","95","8","PROMOCIONES TAURO SL","grande","Sevilla","Ver más",NA
"97","96","3","GRAN CASINO COSTA BRAVA SL","grande","Barcelona","Ver más",NA
"98","97","5","INTERPLAY SA","grande","Cádiz","Ver más",NA
"99","98","14","INVERSIONES Y SERVICIOS VALENCIA SA","grande","Valencia","Ver más",NA
"100","99","35","MACHINES GAMES AUTOMATICS SA","grande","Barcelona","Ver más",NA
"101","100","99","LUCKIA GAMES SA.","grande","Coruña","Ver más",NA
